block_timestamp,supply_rates,borrow_rates,prices_usd,total_supply_history,total_borrows_history
1598750509,0.02263671939986566,0.06130129704636986,1.000000,9799536008.94585657,81708267.353279817786
1598836019,0.024526617027091482,0.06338598946150914,1.000000,9291245090.13033261,81538011.315796918392
1598921528,0.025639057948484242,0.06452381245315045,1.000000,9005522595.56676130,80944090.080129579395
1599007037,0.02836863245842883,0.0672875021310692,1.000000,8342909074.36566531,79577161.805950631132
1599092546,0.02372510211082442,0.06250647274284399,1.000000,9151316004.08476357,78652686.038131047461
1599178056,0.022810803764694985,0.06153371598105745,1.000000,9411914412.67349114,79141724.613750427286
1599263565,0.02097677977364343,0.059457071242650865,1.000000,9248710199.65043191,73913204.994010463343
1599349074,0.01909921452873622,0.05728994278381407,1.000000,9234370395.00714097,69826989.702857008357
1599434584,0.01971269214046929,0.0580088532937521,1.000000,8836822515.04915846,68089233.019631631776
1599520093,0.01745595645247417,0.05525747709249656,1.000000,9245970130.51699672,66111133.082908950339
1599605602,0.017310036007186388,0.05510012813083842,1.000000,10075687956.13111839,71785917.642556172111
1599691111,0.016163943085043885,0.05364012857892608,1.000000,10130335870.96510073,69151874.185561502270
1599776621,0.01751691572655895,0.055359113696845326,1.000000,9570117072.58957330,68666622.081774411226
1599862130,0.016690637990335315,0.05432328751568917,1.000000,9658558297.57461433,67306717.208196588499
1599947639,0.017921376908678014,0.055853575996070395,1.000000,9286834388.23882696,67526016.127798695157
1600033148,0.01886210907798804,0.05700552012149626,1.000000,8895627621.49714246,66791770.129692391549
1600118658,0.02384484709558502,0.0625919478813888,1.000000,7808115595.04146123,67101156.919479820459
1600204167,0.024832748277594373,0.06369746711449462,1.000000,7576057938.86251064,67033512.419578897134
1600289676,0.025874937450467195,0.0647889551722217,1.000000,7841785062.01462248,71106526.868872890909
1600375186,0.027709005178094534,0.06665652414549075,1.000000,7880715183.30223087,74384890.195129011881
1600460695,0.028142610933157047,0.06705495788472414,1.000000,7967526366.70731877,75779881.337030297907
1600546204,0.01968375060185287,0.057966611526478654,1.000000,9492404442.39446890,73090506.579474617894
1600631713,0.022099650904268495,0.06074524925337905,1.000000,9534474854.04632265,78761974.815165024096
1600717223,0.028575475781788852,0.0674340968424885,1.000000,8616293952.70620400,82393682.125199915820
1600802732,0.029177938176787467,0.06809516809576914,1.000000,8157757598.24133069,79346503.572879283816
1600888241,0.023175364131740712,0.061878748650686516,1.000000,8702043322.82349638,73774589.779550456776
1600973750,0.022532543800544765,0.061222086717684275,1.000000,8677549646.34155153,72535086.649496457458
1601059260,0.020000978790638207,0.05833430970120461,1.000000,9146367338.61979469,71095235.331007330160
1601144769,0.007630661827779235,0.02396732926745322,1.000000,9171128381.26639886,65312130.301082327652
1601230278,0.005502453058516134,0.017131352389678695,1.000000,9512369568.23617870,68434931.721361842050
1601315788,0.005702206493476618,0.01743961308223663,1.000000,9167178724.39241314,67162950.464499645042
1601401297,0.005469314395421313,0.01707880997992704,1.000000,9402926319.24314565,67439987.666284769231
1601486806,0.005132605037951344,0.016549271014631158,1.000000,9618262158.72452658,66900153.360908173619
1601572315,0.005240014711670003,0.0167229030825674,1.000000,9565608196.00307053,67229177.834193960998
1601657825,0.005649317451627386,0.017361338618601112,1.000000,9051941159.21633283,65977382.742356484848
1601743334,0.0059213825051951975,0.01778292244318963,1.000000,8879323743.23798558,66325533.803153758427
1601828843,0.005615136046996704,0.01731177016744487,1.000000,8826220433.78723026,64194033.921425271654
1601914352,0.005200649074829447,0.016649400701863097,1.000000,9301010968.33563068,65013194.643653771186
1601999862,0.00469733050968375,0.015828033543562256,1.000000,9529944772.15786898,63423556.786892270192
1602085371,0.004832275856312441,0.016042625480283065,1.000000,9520957686.73394344,64104273.232472670886
1602170880,0.005343177539850084,0.016883951977909737,1.000000,9696204043.82864908,68798268.767479447970
1602256389,0.00579618182742945,0.017593104907536683,1.000000,9614106844.58448450,71065900.990104770861
1602341899,0.005596736684768372,0.01728555127227344,1.000000,9560047222.25245194,69435730.209975726519
1602427408,0.0053018303675082664,0.01681547177656544,1.000000,9784678880.43353615,69154577.839258911809
1602512917,0.005800431321436373,0.017592999044980705,1.000000,9992126993.03180576,73833730.979447867532
1602598427,0.0052565522018949646,0.016748378869098638,1.000000,11144878162.13397683,78461428.406316889675
1602683936,0.006050536671249477,0.017971175785177197,1.000000,10951082824.64604327,82647458.844522711538
1602769445,0.006903250505974878,0.019189832640683996,1.000000,10959256125.31144652,88200302.550664855501
